absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,carrollb__total_count,Asp__total_count,collinsp__total_count,prohibition__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,carrollb__absentee_count,collinsp__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
unknown,1294.0,None,,0,97,97% reported,edison,97%,28035,2020-11-04T10:44:02Z,R+18,Trump +18,17.79578,republican,Forrest,34,,,34,27365,4.0,26540,10603,10603,27,27,32,32,27,27,52,52,299,299,12,117,15326,15326,105,114,0,0,0,0,0,0,0,0,0,0
unknown,530.0,None,,0,100,>98% reported,edison,>98%,28037,2020-11-04T10:44:02Z,R+32,Trump +32,32.00181,republican,Franklin,14,,,13,4066,2.0,4431,1476,1476,6,6,6,6,4,4,3,3,21,21,4,18,2894,2894,14,6,0,0,0,0,0,0,0,0,0,0
all,208.0,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,28039,2020-11-04T10:44:02Z,R+77,Trump +77,76.72761,republican,George,22,,,22,10940,6.0,10940,1208,1208,10,10,6,6,12,12,10,10,52,52,5,25,9602,9602,20,30,0,0,0,0,0,0,0,0,0,0
unknown,700.0,Released as a precinct at the end of tabulation,,0,98,98% reported,edison,98%,28041,2020-11-06T17:22:47Z,R+66,Trump +66,65.90118,republican,Greene,13,,,13,5859,2.0,5748,952,952,8,8,4,4,4,4,4,4,19,19,4,13,4740,4740,9,8,0,0,0,0,0,0,0,0,0,0
unknown,1570.0,None,,0,76,76% reported,edison,76%,28043,2020-11-04T10:44:04Z,R+26,Trump +26,25.81016,republican,Grenada,13,,,13,10259,2.0,7838,2866,2866,3,3,6,6,11,11,7,7,29,29,4,19,4889,4889,15,16,0,0,0,0,0,0,0,0,0,0
none,860.0,None,,0,100,>98% reported,edison,>98%,28045,2020-11-04T10:43:23Z,R+63,Trump +63,62.65586,republican,Hancock,25,,,25,17450,4.0,17403,3095,3095,18,18,20,20,15,15,21,21,165,165,8,49,13999,13999,41,42,0,0,0,0,0,0,0,0,0,0
unknown,2776.0,None,,0,87,87% reported,edison,87%,28047,2020-11-04T22:48:32Z,R+37,Trump +37,37.3837,republican,Harrison,53,,,46,69661,2.0,60941,18499,18499,49,49,34,34,63,63,82,82,650,650,26,186,41281,41281,160,194,0,0,0,0,0,0,0,0,0,0
unknown,2988.0,Merged into voters' home precincts and released with cumulative results,,0,70,70% reported,edison,70%,28049,2020-11-04T22:49:59Z,D+46,Biden +46,46.38741,democrat,Hinds,108,,,108,117140,2.0,81811,59192,59192,75,75,108,108,99,99,97,97,364,364,55,438,21242,21242,383,392,0,0,0,0,0,0,0,0,0,0
none,726.0,None,,0,100,>98% reported,edison,>98%,28051,2020-11-04T10:43:25Z,D+61,Biden +61,60.92938,democrat,Holmes,15,,,15,6542,6.0,6542,5182,5182,17,17,25,25,13,13,13,13,25,25,14,58,1196,1196,44,26,0,0,0,0,0,0,0,0,0,0
all,214.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28053,2020-11-04T10:43:26Z,D+45,Biden +45,45.12488,democrat,Humphreys,13,,,13,4164,6.0,4164,2994,2994,7,7,7,7,3,3,4,4,10,10,4,24,1115,1115,20,0,0,0,0,0,0,0,0,0,0,0
all,64.0,None,,0,100,>98% reported,edison,>98%,28055,2020-11-04T10:43:26Z,D+7,Biden +7,6.95266,democrat,Issaquena,5,,,5,606,4.0,676,355,355,5,5,1,1,1,1,0,0,5,5,0,1,308,308,1,0,0,0,0,0,0,0,0,0,0,0
some,362.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28057,2020-11-04T10:43:27Z,R+76,Trump +76,75.8075,republican,Itawamba,28,,,28,9634,4.0,10743,1230,1230,7,7,2,2,11,11,15,15,79,79,3,18,9374,9374,15,14,0,0,0,0,0,0,0,0,0,0
unknown,1386.0,None,,0,100,>98% reported,edison,>98%,28059,2020-11-04T10:43:27Z,R+45,Trump +45,45.07321,republican,Jackson,32,,,32,39881,6.0,45486,12061,12061,59,59,39,39,43,43,66,66,431,431,36,144,32563,32563,108,160,0,0,0,0,0,0,0,0,0,0
all,592.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28061,2020-11-04T10:43:28Z,D+0.36,Biden +0.36,0.35871,democrat,Jasper,17,,,17,8652,6.0,8642,4287,4287,13,13,7,7,10,10,6,6,30,30,5,27,4256,4256,22,12,0,0,0,0,0,0,0,0,0,0
all,578.0,None,,6,88,88% reported,edison,88%,28065,2020-11-04T10:43:28Z,D+15,Biden +15,15.44086,democrat,Jeff Davis,17,,,17,5285,4.0,4650,2645,2645,7,7,6,6,10,10,5,5,14,14,4,30,1927,1927,26,18,0,0,0,0,0,0,0,0,0,6
some,600.0,None,,0,100,>98% reported,edison,>98%,28063,2020-11-04T10:43:28Z,D+72,Biden +72,71.56386,democrat,Jefferson,12,,,12,3414,4.0,3907,3325,3325,6,6,4,4,1,1,6,6,14,14,1,19,529,529,18,6,0,0,0,0,0,0,0,0,0,0
some,1822.0,None,,0,89,89% reported,edison,89%,28067,2020-11-04T10:43:28Z,R+46,Trump +46,45.72324,republican,Jones,37,,,37,29838,2.0,26492,7017,7017,28,28,20,20,24,24,23,23,152,152,8,71,19130,19130,63,54,0,0,0,0,0,0,0,0,0,0
