absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,write-ins__absentee_count
none,,Merged into voters' home precincts AFTER election night,,0,78,78% reported,edison,78%,36103,2020-11-05T20:32:57Z,R+13,Trump +13,12.55465,republican,Suffolk,1052,,,824,763004,4,598129,258007,258007,1490,1490,3573,3573,1959,1959,333100,333100,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,80,80% reported,edison,80%,36105,2020-11-04T10:43:59Z,R+17,Trump +17,16.93216,republican,Sullivan,73,,,59,33550,2,26931,10995,10995,86,86,207,207,88,88,15555,15555,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,82,82% reported,edison,82%,36107,2020-11-06T21:41:45Z,R+32,Trump +32,31.9533,republican,Tioga,41,,,34,24975,2,20555,6724,6724,64,64,354,354,77,77,13292,13292,88,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,65,65% reported,edison,65%,36109,2020-11-04T10:43:59Z,D+43,Biden +43,42.53023,democrat,Tompkins,63,,,41,47799,2,30851,21643,21643,249,249,344,344,93,93,8522,8522,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,81,81% reported,edison,81%,36111,2020-11-04T10:43:59Z,D+12,Biden +12,11.62141,democrat,Ulster,168,,,137,95525,2,77667,42606,42606,458,458,735,735,288,288,33580,33580,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,79,79% reported,edison,79%,36113,2020-11-04T10:44:00Z,R+12,Trump +12,12.26787,republican,Warren,19,,,15,35177,2,27625,11811,11811,152,152,338,338,124,124,15200,15200,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,86,86% reported,edison,86%,36115,2020-11-05T15:08:58Z,R+26,Trump +26,25.58563,republican,Washington,50,,,42,27471,2,23607,8537,8537,106,106,289,289,98,98,14577,14577,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,84,84% reported,edison,84%,36117,2020-11-04T10:44:00Z,R+29,Trump +29,29.21844,republican,Wayne,67,,,56,44449,2,37425,12799,12799,149,149,573,573,170,170,23734,23734,0,0,0,0,0,0,0
none,,Merged into voters' home precincts AFTER election night,,0,56,56% reported,edison,56%,36119,2020-11-08T16:07:22Z,D+27,Biden +27,27.07064,democrat,Westchester,942,,,942,630000,2,350749,220963,220963,892,892,1953,1953,928,928,126013,126013,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,89,89% reported,edison,89%,36121,2020-11-04T10:43:28Z,R+53,Trump +53,53.1931,republican,Wyoming,40,,,35,19374,2,17162,3840,3840,51,51,228,228,74,74,12969,12969,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,78,78% reported,edison,78%,36123,2020-11-04T10:43:29Z,R+28,Trump +28,28.42237,republican,Yates,18,,,14,11274,2,8817,3046,3046,32,32,143,143,44,44,5552,5552,0,0,0,0,0,0,0
