absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,grossa__total_count,democrat__total_count,howej__total_count,alaskan-independence__total_count,sullivand__total_count,republican__total_count,write-ins__total_count,grossa__absentee_count,howej__absentee_count,sullivand__absentee_count,write-ins__absentee_count
unknown,4000,Released as a separate subtotal as first report of the night,,0,16,16% reported,edison,16%,02930,2020-11-04T10:44:05Z,R+65,Sullivan +65,65.35627,republican,ED 30,6,,,1,10293,2,1628,230,230,104,104,1294,1294,0,0,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,1,24,24% reported,edison,24%,02931,2020-11-04T10:44:06Z,R+51,Sullivan +51,50.63247,republican,ED 31,9,,,2,11709,2,2846,635,636,135,135,2076,2076,0,1,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,0,8,8% reported,edison,8%,02932,2020-11-04T10:44:07Z,R+23,Sullivan +23,22.69504,republican,ED 32,14,,,1,8593,2,705,250,250,45,45,410,410,0,0,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,2057,40,40% reported,edison,40%,02933,2020-11-04T10:44:07Z,D+26,Gross +26,25.52775,democrat,ED 33,11,,,4,11424,2,4595,2808,4351,152,183,1635,2118,0,1543,31,483,0
unknown,4000,Released as a separate subtotal as first report of the night,,2917,50,50% reported,edison,50%,02934,2020-11-04T10:44:08Z,R+5,Sullivan +5,5.1487,republican,ED 34,7,,,3,10846,2,5380,2447,4089,209,285,2724,3923,0,1642,76,1199,0
unknown,4000,Released as a separate subtotal as first report of the night,,15,12,12% reported,edison,12%,02935,2020-11-04T10:44:08Z,R+26,Sullivan +26,26.0,republican,ED 35,14,,,2,10398,2,1200,382,387,124,125,694,703,0,5,1,9,0
unknown,4000,Released as a separate subtotal as first report of the night,,1,45,45% reported,edison,45%,02936,2020-11-04T10:44:08Z,R+32,Sullivan +32,31.51815,republican,ED 36,10,,,4,9504,2,4242,1324,1325,257,257,2661,2661,0,1,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,0,3,3% reported,edison,3%,02937,2020-11-04T10:44:09Z,R+15,Sullivan +15,15.42857,republican,ED 37,35,,,1,5821,2,175,67,67,14,14,94,94,0,0,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,0,4,4% reported,edison,4%,02938,2020-11-04T10:44:09Z,D+27,Gross +27,27.49004,democrat,ED 38,31,,,1,5859,2,251,139,139,42,42,70,70,0,0,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,282,16,16% reported,edison,16%,02939,2020-11-04T10:44:09Z,D+6,Gross +6,5.72557,democrat,ED 39,33,,,5,6485,2,1013,488,650,95,109,430,536,0,162,14,106,0
unknown,4000,Released as a separate subtotal as first report of the night,,1771,38,38% reported,edison,38%,02904,2020-11-04T10:43:46Z,D+11,Gross +11,11.31894,democrat,ED 4,7,,,3,10949,2,4170,2245,3355,152,190,1773,2396,0,1110,38,623,0
unknown,4000,Released as a separate subtotal as first report of the night,,0,2,2% reported,edison,2%,02940,2020-11-04T10:44:10Z,D+2,Gross +2,2.1978,democrat,ED 40,23,,,1,5302,2,91,34,34,25,25,32,32,0,0,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,1365,42,42% reported,edison,42%,02905,2020-11-04T10:43:46Z,R+12,Sullivan +12,11.60552,republican,ED 5,9,,,4,9092,2,3843,1620,2440,157,176,2066,2592,0,820,19,526,0
unknown,4000,Released as a separate subtotal as first report of the night,,4,40,40% reported,edison,40%,02906,2020-11-04T10:43:47Z,R+45,Sullivan +45,44.67256,republican,ED 6,33,,,13,9729,2,3848,941,944,247,247,2660,2661,0,3,0,1,0
unknown,4000,Released as a separate subtotal as first report of the night,,2235,56,56% reported,edison,56%,02907,2020-11-04T10:43:49Z,R+57,Sullivan +57,57.44681,republican,ED 7,7,,,4,9538,2,5358,989,1499,302,387,4067,5707,0,510,85,1640,0
unknown,4000,Released as a separate subtotal as first report of the night,,1559,31,31% reported,edison,31%,02908,2020-11-04T10:43:50Z,R+59,Sullivan +59,59.35754,republican,ED 8,6,,,2,9284,2,2864,517,890,130,185,2217,3348,0,373,55,1131,0
unknown,4000,Released as a separate subtotal as first report of the night,,4,18,18% reported,edison,18%,02909,2020-11-04T10:43:51Z,R+51,Sullivan +51,51.15789,republican,ED 9,11,,,2,10297,2,1900,405,407,118,118,1377,1379,0,2,0,2,0
