absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,janicekc__total_count,democrat__total_count,sasseb__total_count,republican__total_count,siadekg__total_count,libertarian__total_count,write-ins__total_count,janicekc__absentee_count,sasseb__absentee_count,siadekg__absentee_count,write-ins__absentee_count
unknown,3510,Other,,0,93,93% reported,edison,93%,31051,2020-11-04T10:43:53Z,R+59,Sasse +59,58.53072,republican,Dixon,13,,,12,3116,2,2913,501,501,2206,2206,206,206,0,0,0,0,0
unknown,4152,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,91,91% reported,edison,91%,31053,2020-11-04T10:43:54Z,R+49,Sasse +49,48.60046,republican,Dodge,34,,,31,17392,4,16434,3396,3396,11383,11383,1068,1068,1174,0,0,0,0
unknown,125011,Released separately AFTER election night,,0,98,98% reported,edison,98%,31055,2020-11-07T00:47:52Z,R+19,Sasse +19,18.71133,republican,Douglas,237,,,232,269285,2,263263,84772,84772,134032,134032,15627,15627,57664,0,0,0,0
unknown,334,Released as a separate subtotal as first report of the night,,0,87,87% reported,edison,87%,31057,2020-11-04T10:43:54Z,R+79,Sasse +79,78.95833,republican,Dundy,4,,,4,1100,2,960,77,77,835,835,48,48,0,0,0,0,0
unknown,917,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,91,91% reported,edison,91%,31059,2020-11-07T00:00:41Z,R+66,Sasse +66,65.90229,republican,Fillmore,10,,,9,3294,2,3009,435,435,2418,2418,156,156,0,0,0,0,0
unknown,590,Released as a precinct as first report of the night,,0,88,88% reported,edison,88%,31061,2020-11-04T10:43:56Z,R+73,Sasse +73,72.7657,republican,Franklin,5,,,4,1874,2,1656,190,190,1395,1395,71,71,0,0,0,0,0
unknown,342,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,31063,2020-11-07T00:00:41Z,R+76,Sasse +76,76.10108,republican,Frontier,5,,,5,1487,2,1385,129,129,1183,1183,73,73,0,0,0,0,0
unknown,478,None,,0,96,96% reported,edison,96%,31065,2020-11-07T00:00:41Z,R+72,Sasse +72,71.59317,republican,Furnas,8,,,8,2621,2,2517,277,277,2079,2079,161,161,0,0,0,0,0
all,6456,None,,0,93,93% reported,edison,93%,31067,2020-11-07T00:00:41Z,R+52,Sasse +52,51.50247,republican,Gage,11,,,10,11254,4,10516,2240,2240,7656,7656,620,620,0,0,0,0,0
unknown,403,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,31069,2020-11-04T10:43:59Z,R+71,Sasse +71,71.20281,republican,Garden,1,,,1,1219,2,1139,127,127,938,938,74,74,0,0,0,0,0
unknown,302,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,91,91% reported,edison,91%,31071,2020-11-04T10:43:59Z,R+77,Sasse +77,76.89243,republican,Garfield,3,,,3,1098,2,1004,91,91,863,863,50,50,0,0,0,0,0
unknown,282,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,31073,2020-11-04T10:44:00Z,R+74,Sasse +74,73.73832,republican,Gosper,4,,,4,1131,2,1070,111,111,900,900,59,59,0,0,0,0,0
unknown,133,Merged into voters' home precincts AFTER election night,,0,79,79% reported,edison,79%,31075,2020-11-07T00:00:41Z,R+82,Sasse +82,82.22222,republican,Grant,1,,,1,454,2,360,14,14,321,321,25,25,0,0,0,0,0
unknown,282,Released as a precinct at the end of tabulation,,0,88,88% reported,edison,88%,31077,2020-11-07T00:00:41Z,R+67,Sasse +67,66.55172,republican,Greeley,5,,,4,1323,2,1160,166,166,938,938,56,56,0,0,0,0,0
unknown,9026,Released as a precinct at the end of tabulation,,0,91,91% reported,edison,91%,31079,2020-11-04T10:44:01Z,R+49,Sasse +49,48.6254,republican,Hall,27,,,25,24707,2,22552,5055,5055,16021,16021,1476,1476,0,0,0,0,0
unknown,5243,Released as a precinct as first report of the night,,0,92,92% reported,edison,92%,31081,2020-11-04T10:44:01Z,R+66,Sasse +66,66.48554,republican,Hamilton,12,,,11,5604,2,5153,677,677,4103,4103,373,373,0,0,0,0,0
unknown,466,Released separately AFTER election night,,0,90,90% reported,edison,90%,31083,2020-11-04T10:44:01Z,R+72,Sasse +72,71.71553,republican,Harlan,9,,,8,2052,2,1842,208,208,1529,1529,105,105,0,0,0,0,0
unknown,277,Released separately AFTER election night,,0,84,84% reported,edison,84%,31085,2020-11-04T10:44:02Z,R+84,Sasse +84,83.66142,republican,Hayes,4,,,4,604,2,508,30,30,455,455,23,23,0,0,0,0,0
unknown,448,Released as a precinct as first report of the night,,0,85,85% reported,edison,85%,31087,2020-11-04T10:44:02Z,R+72,Sasse +72,72.31955,republican,Hitchcock,5,,,4,1671,2,1427,143,143,1175,1175,109,109,0,0,0,0,0
unknown,1792,Released as a precinct as first report of the night,,0,90,90% reported,edison,90%,31089,2020-11-07T00:00:40Z,R+69,Sasse +69,69.32062,republican,Holt,14,,,12,5732,2,5137,602,602,4163,4163,372,372,0,0,0,0,0
unknown,109,Merged into voters' home precincts and released with cumulative results,,0,89,89% reported,edison,89%,31091,2020-11-04T10:44:02Z,R+73,Sasse +73,72.70531,republican,Hooker,1,,,1,467,2,414,48,48,349,349,17,17,0,0,0,0,0
unknown,934,Released as a separate subtotal as first report of the night,,0,99,>98% reported,edison,>98%,31093,2020-11-04T10:44:03Z,R+67,Sasse +67,66.82765,republican,Howard,9,,,9,3353,2,3313,446,446,2660,2660,207,207,0,0,0,0,0
unknown,1011,None,,0,92,92% reported,edison,92%,31095,2020-11-04T10:44:03Z,R+58,Sasse +58,58.01059,republican,Jefferson,11,,,10,3913,2,3589,658,658,2740,2740,191,191,0,0,0,0,0
unknown,685,Released as a precinct as first report of the night,,0,90,90% reported,edison,90%,31097,2020-11-04T10:43:26Z,R+55,Sasse +55,54.77316,republican,Johnson,6,,,5,2340,2,2116,416,416,1575,1575,125,125,0,0,0,0,0
unknown,765,Released as a precinct as first report of the night,,0,92,92% reported,edison,92%,31099,2020-11-04T10:43:26Z,R+70,Sasse +70,69.51041,republican,Kearney,12,,,11,3692,2,3411,411,411,2782,2782,218,218,0,0,0,0,0
