absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,3510,Other,,0,99,>98% reported,edison,>98%,31051,2020-11-04T10:43:41Z,R+55,Trump +55,54.62212,republican,Dixon,13,,,13,3116,2,3083,651,651,97,97,2335,2335,0,0,0,0,0
unknown,4152,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,97,97% reported,edison,97%,31053,2020-11-04T10:43:42Z,R+32,Trump +32,32.20972,republican,Dodge,34,,,33,17392,4,16880,5526,5526,346,346,10963,10963,90,0,0,0,0
unknown,125011,Released separately AFTER election night,,0,100,>98% reported,edison,>98%,31055,2020-11-07T00:47:23Z,D+11,Biden +11,11.01534,democrat,Douglas,237,,,237,269285,2,269960,146433,146433,5288,5288,116696,116696,3086,0,0,0,0
unknown,334,Released as a separate subtotal as first report of the night,,0,91,91% reported,edison,91%,31057,2020-11-04T10:43:43Z,R+78,Trump +78,77.87788,republican,Dundy,4,,,4,1100,2,999,105,105,11,11,883,883,0,0,0,0,0
unknown,917,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,95,95% reported,edison,95%,31059,2020-11-07T00:00:46Z,R+53,Trump +53,53.1589,republican,Fillmore,10,,,9,3294,2,3134,693,693,82,82,2359,2359,0,0,0,0,0
unknown,590,Released as a precinct as first report of the night,,0,92,92% reported,edison,92%,31061,2020-11-04T10:43:43Z,R+67,Trump +67,67.28646,republican,Franklin,5,,,5,1874,2,1721,276,276,11,11,1434,1434,0,0,0,0,0
unknown,342,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,31063,2020-11-07T00:00:46Z,R+72,Trump +72,72.22222,republican,Frontier,5,,,5,1487,2,1440,189,189,22,22,1229,1229,0,0,0,0,0
unknown,478,None,,0,99,>98% reported,edison,>98%,31065,2020-11-07T00:00:46Z,R+68,Trump +68,67.82007,republican,Furnas,8,,,8,2621,2,2601,399,399,39,39,2163,2163,0,0,0,0,0
all,6456,None,,0,98,98% reported,edison,98%,31067,2020-11-07T00:00:45Z,R+37,Trump +37,36.68233,republican,Gage,11,,,11,11254,4,11068,3385,3385,238,238,7445,7445,0,0,0,0,0
unknown,403,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,31069,2020-11-04T10:43:44Z,R+72,Trump +72,71.54812,republican,Garden,1,,,1,1219,2,1195,161,161,18,18,1016,1016,0,0,0,0,0
unknown,302,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,97,97% reported,edison,97%,31071,2020-11-04T10:43:45Z,R+74,Trump +74,74.2268,republican,Garfield,3,,,3,1098,2,1067,133,133,9,9,925,925,0,0,0,0,0
unknown,282,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,31073,2020-11-04T10:43:45Z,R+61,Trump +61,60.64401,republican,Gosper,4,,,4,1131,2,1118,215,215,10,10,893,893,0,0,0,0,0
unknown,133,Merged into voters' home precincts AFTER election night,,0,89,89% reported,edison,89%,31075,2020-11-07T00:00:45Z,R+88,Trump +88,88.30846,republican,Grant,1,,,1,454,2,402,20,20,7,7,375,375,0,0,0,0,0
unknown,282,Released as a precinct at the end of tabulation,,0,95,95% reported,edison,95%,31077,2020-11-07T00:00:45Z,R+63,Trump +63,62.55962,republican,Greeley,5,,,5,1323,2,1258,229,229,13,13,1016,1016,0,0,0,0,0
unknown,9026,Released as a precinct at the end of tabulation,,0,97,97% reported,edison,97%,31079,2020-11-04T10:43:46Z,R+35,Trump +35,34.99729,republican,Hall,27,,,26,24707,2,23999,7551,7551,498,498,15950,15950,0,0,0,0,0
unknown,5243,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,31081,2020-11-04T10:43:46Z,R+58,Trump +58,57.6087,republican,Hamilton,12,,,12,5604,2,5520,1117,1117,106,106,4297,4297,0,0,0,0,0
unknown,466,Released separately AFTER election night,,0,94,94% reported,edison,94%,31083,2020-11-04T10:43:46Z,R+69,Trump +69,69.139,republican,Harlan,9,,,8,2052,2,1928,282,282,31,31,1615,1615,0,0,0,0,0
unknown,277,Released separately AFTER election night,,0,88,88% reported,edison,88%,31085,2020-11-04T10:43:47Z,R+86,Trump +86,86.09023,republican,Hayes,4,,,4,604,2,532,34,34,6,6,492,492,0,0,0,0,0
unknown,448,Released as a precinct as first report of the night,,0,88,88% reported,edison,88%,31087,2020-11-04T10:43:48Z,R+74,Trump +74,74.18033,republican,Hitchcock,5,,,4,1671,2,1464,174,174,30,30,1260,1260,0,0,0,0,0
unknown,1792,Released as a precinct as first report of the night,,0,96,96% reported,edison,96%,31089,2020-11-07T00:00:45Z,R+74,Trump +74,73.82029,republican,Holt,14,,,13,5732,2,5531,683,683,82,82,4766,4766,0,0,0,0,0
unknown,109,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,31091,2020-11-04T10:43:50Z,R+72,Trump +72,71.71946,republican,Hooker,1,,,1,467,2,442,59,59,7,7,376,376,0,0,0,0,0
unknown,934,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,31093,2020-11-04T10:43:51Z,R+61,Trump +61,61.06827,republican,Howard,9,,,9,3353,2,3501,648,648,67,67,2786,2786,0,0,0,0,0
unknown,1011,None,,0,94,94% reported,edison,94%,31095,2020-11-04T10:43:51Z,R+43,Trump +43,42.97341,republican,Jefferson,11,,,10,3913,2,3686,1009,1009,84,84,2593,2593,0,0,0,0,0
unknown,685,Released as a precinct as first report of the night,,0,95,95% reported,edison,95%,31097,2020-11-04T10:43:51Z,R+39,Trump +39,39.11091,republican,Johnson,6,,,6,2340,2,2227,646,646,64,64,1517,1517,0,0,0,0,0
unknown,765,Released as a precinct as first report of the night,,0,97,97% reported,edison,97%,31099,2020-11-04T10:43:51Z,R+59,Trump +59,58.84155,republican,Kearney,12,,,12,3692,2,3591,699,699,80,80,2812,2812,0,0,0,0,0
unknown,1515,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,31101,2020-11-07T00:00:45Z,R+64,Trump +64,63.72594,republican,Keith,12,,,12,4528,2,4364,763,763,57,57,3544,3544,0,0,0,0,0
unknown,301,Released as a precinct as first report of the night,,0,91,91% reported,edison,91%,31103,2020-11-04T10:43:52Z,R+81,Trump +81,80.71834,republican,Keya Paha,3,,,3,581,2,529,49,49,4,4,476,476,0,0,0,0,0
unknown,544,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,99,>98% reported,edison,>98%,31105,2020-11-04T10:43:52Z,R+69,Trump +69,69.13978,republican,Kimball,6,,,6,1884,2,1860,267,267,40,40,1553,1553,0,0,0,0,0
unknown,1126,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,31107,2020-11-04T10:43:53Z,R+60,Trump +60,60.00426,republican,Knox,8,,,8,4700,2,4693,903,903,71,71,3719,3719,0,0,0,0,0
some,53608,Released as a precinct at the end of tabulation,,84632,100,>98% reported,edison,>98%,31109,2020-11-04T10:43:53Z,D+8,Biden +8,7.96701,democrat,Lancaster,199,,,199,152570,2,153031,80513,135854,3566,5176,68321,95371,1893,55341,1610,27050,631
all,6886,Released as a precinct as first report of the night,,8080,95,95% reported,edison,95%,31111,2020-11-07T00:00:45Z,R+55,Trump +55,54.68486,republican,Lincoln,25,,,23,18067,2,17151,3692,6282,344,494,13071,18381,118,2590,150,5310,30
unknown,219,Released as a precinct at the end of tabulation,,0,89,89% reported,edison,89%,31113,2020-11-04T10:43:54Z,R+82,Trump +82,82.0,republican,Logan,2,,,2,507,2,450,38,38,5,5,407,407,0,0,0,0,0
unknown,130,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,31115,2020-11-04T10:43:54Z,R+65,Trump +65,64.97797,republican,Loup,2,,,2,431,2,454,75,75,9,9,370,370,0,0,0,0,0
unknown,4174,Released as a precinct as first report of the night,,0,97,97% reported,edison,97%,31119,2020-11-04T10:43:56Z,R+54,Trump +54,53.77426,republican,Madison,23,,,22,15924,2,15407,3393,3393,336,336,11678,11678,0,0,0,0,0
unknown,138,Other,,0,100,>98% reported,edison,>98%,31117,2020-11-07T00:00:45Z,R+85,Trump +85,85.43046,republican,McPherson,1,,,1,301,6,302,17,17,10,10,275,275,0,0,0,0,0
unknown,3923,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,31121,2020-11-04T10:43:57Z,R+63,Trump +63,62.50293,republican,Merrick,15,,,15,4243,2,4267,740,740,95,95,3407,3407,50,0,0,0,0
unknown,1216,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,31123,2020-11-06T15:11:00Z,R+68,Trump +68,67.51368,republican,Morrill,10,,,10,2474,2,2558,386,386,58,58,2113,2113,2,0,0,0,0
unknown,643,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,31125,2020-11-07T00:00:45Z,R+59,Trump +59,58.97155,republican,Nance,7,,,7,1816,2,1828,359,359,32,32,1437,1437,0,0,0,0,0
unknown,1205,Released as a precinct as first report of the night,,0,95,95% reported,edison,95%,31127,2020-11-07T00:00:45Z,R+44,Trump +44,44.02571,republican,Nemaha,9,,,9,3585,2,3423,921,921,74,74,2428,2428,0,0,0,0,0
unknown,470,Released as a precinct as first report of the night,,0,93,93% reported,edison,93%,31129,2020-11-04T12:40:47Z,R+63,Trump +63,62.76132,republican,Nuckolls,9,,,8,2470,2,2296,409,409,37,37,1850,1850,0,0,0,0,0
