absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,6274,Released as a separate subtotal as first report of the night,,0,99,>98% reported,edison,>98%,10001,2020-11-06T03:34:21Z,D+4,Biden +4,4.07323,democrat,Kent,89,,,89,88000,2,86958,44518,44518,420,420,1044,1044,40976,40976,0,0,0,0,0,0
unknown,16274,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,10003,2020-11-04T10:43:42Z,D+37,Biden +37,37.23898,democrat,New Castle,272,,,265,293878,2,286133,194238,194238,1278,1278,2932,2932,87685,87685,0,0,0,0,0,0
unknown,11440,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,10005,2020-11-04T22:46:41Z,R+11,Trump +11,11.245,republican,Sussex,73,,,73,125000,2,129293,56657,56657,437,437,1003,1003,71196,71196,0,0,0,0,0,0
