absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,jonesd__total_count,democrat__total_count,tubervillet__total_count,republican__total_count,write-ins__total_count,jonesd__absentee_count,tubervillet__absentee_count,write-ins__absentee_count
some,2117,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01051,2020-11-04T10:43:29Z,R+44,Tuberville +44,44.24228,republican,Elmore,30,,,29,40891,6,40780,11339,11339,29381,29381,120,0,0,0
all,848,None,,0,100,>98% reported,edison,>98%,01053,2020-11-04T10:43:30Z,R+32,Tuberville +32,31.68849,republican,Escambia,33,,,31,15861,6,15807,5392,5392,10401,10401,28,0,0,0
all,2245,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01055,2020-11-04T21:08:12Z,R+45,Tuberville +45,44.6372,republican,Etowah,32,,,31,47358,6,47326,13054,13054,34179,34179,186,0,0,0
unknown,362,Released as a precinct as first report of the night,,481,99,>98% reported,edison,>98%,01057,2020-11-04T10:43:32Z,R+62,Tuberville +62,62.21256,republican,Fayette,28,,,26,8794,4,8741,1646,1846,7084,7365,22,200,281,0
all,653,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,01059,2020-11-04T10:43:32Z,R+58,Tuberville +58,58.09402,republican,Franklin,25,,,23,12564,6,12466,2602,2602,9844,9844,40,0,0,0
unknown,507,Released separately AFTER election night,,0,100,>98% reported,edison,>98%,01061,2020-11-04T10:43:33Z,R+66,Tuberville +66,65.99281,republican,Geneva,28,,,27,12534,2,12515,2119,2119,10378,10378,36,0,0,0
all,590,"As a precinct in the FIRST cumulative report, along with regular precincts",,1565,99,>98% reported,edison,>98%,01063,2020-11-06T18:38:31Z,D+66,Jones +66,65.80105,democrat,Greene,15,,,15,4824,2,4775,3958,5431,816,908,2,1473,92,0
all,982,None,,1474,100,>98% reported,edison,>98%,01065,2020-11-04T10:43:35Z,D+22,Jones +22,21.76113,democrat,Hale,15,,,13,7922,6,7904,4810,6112,3090,3261,9,1302,171,1
unknown,994,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01067,2020-11-04T10:43:35Z,R+38,Tuberville +38,38.18949,republican,Henry,15,,,15,9043,4,9246,2853,2853,6384,6384,18,0,0,0
all,3363,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01069,2020-11-04T10:43:36Z,R+37,Tuberville +37,37.09437,republican,Houston,28,,,27,45750,6,45608,14307,14307,31225,31225,152,0,0,0
none,1483,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01071,2020-11-04T20:58:44Z,R+61,Tuberville +61,60.89902,republican,Jackson,31,,,30,22369,4,23470,4574,4574,18867,18867,58,0,0,0
some,15352,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01073,2020-11-04T17:07:59Z,D+17,Jones +17,17.24236,democrat,Jefferson,173,,,165,275449,6,324335,189854,189854,133931,133931,1100,0,0,0
some,790,Released as a precinct as first report of the night,,475,100,>98% reported,edison,>98%,01075,2020-11-04T10:43:37Z,R+70,Tuberville +70,70.04473,republican,Lamar,26,,,24,7187,6,7154,1070,1199,6081,6424,9,129,343,3
unknown,2931,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,01077,2020-11-04T10:43:37Z,R+37,Tuberville +37,36.73274,republican,Lauderdale,32,,,32,44149,6,43841,13825,13825,29929,29929,174,0,0,0
all,725,Released as a precinct in the middle of the night,,862,100,>98% reported,edison,>98%,01079,2020-11-04T10:43:37Z,R+47,Tuberville +47,46.99622,republican,Lawrence,30,,,29,15957,6,15880,4192,4638,11655,12068,69,446,413,3
unknown,4032,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01081,2020-11-04T21:08:08Z,R+16,Tuberville +16,15.8897,republican,Lee,24,,,24,66294,2,70788,29714,29714,40962,40962,224,0,0,0
unknown,2880,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,01083,2020-11-04T10:43:38Z,R+36,Tuberville +36,36.40445,republican,Limestone,26,,,26,49000,2,48560,15396,15396,33074,33074,180,0,0,0
unknown,576,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,01085,2020-11-04T10:43:39Z,D+48,Jones +48,48.13619,democrat,Lowndes,13,,,12,6794,2,6814,5046,5046,1766,1766,4,0,0,0
all,715,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01087,2020-11-04T10:43:40Z,D+66,Jones +66,65.84973,democrat,Macon,14,,,12,8697,6,8691,7201,7201,1478,1478,24,0,0,0
unknown,14142,Released as a precinct at the end of tabulation,,0,99,>98% reported,edison,>98%,01089,2020-11-04T10:43:41Z,R+2,Tuberville +2,2.4799,republican,Madison,73,,,73,195000,2,193274,94021,94021,98814,98814,878,0,0,0
some,1014,None,,0,100,>98% reported,edison,>98%,01091,2020-11-04T10:43:42Z,D+5,Jones +5,4.75795,democrat,Marengo,20,,,18,10882,6,10845,5676,5676,5160,5160,18,0,0,0
all,666,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,01093,2020-11-04T10:43:42Z,R+73,Tuberville +73,73.08392,republican,Marion,21,,,20,12231,6,13739,1841,1841,11882,11882,32,0,0,0
none,2110,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01095,2020-11-04T20:58:45Z,R+63,Tuberville +63,62.84153,republican,Marshall,28,,,27,39425,6,39345,7269,7269,31994,31994,164,0,0,0
all,11133,Released as a separate subtotal as first report of the night,,0,93,93% reported,edison,93%,01097,2020-11-04T20:58:44Z,R+6,Tuberville +6,5.76639,republican,Mobile,88,,,82,195848,4,181292,85263,85263,95717,95717,624,0,0,0
all,827,Merged into voters' home precincts and released with cumulative results,,1257,100,>98% reported,edison,>98%,01099,2020-11-04T21:08:12Z,R+11,Tuberville +11,11.33554,republican,Monroe,31,,,29,10610,6,10595,4689,5599,5890,6237,32,910,347,0
all,7544,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,01101,2020-11-04T20:19:30Z,D+35,Jones +35,34.64356,democrat,Montgomery,49,,,45,98153,6,98278,66100,66100,32053,32053,250,0,0,0
all,3189,Released as a precinct in the middle of the night,,0,99,>98% reported,edison,>98%,01103,2020-11-04T10:43:44Z,R+43,Tuberville +43,43.11175,republican,Morgan,41,,,39,53987,4,53359,15122,15122,38126,38126,222,0,0,0
all,1059,"As a precinct in the FIRST cumulative report, along with regular precincts",,1203,100,>98% reported,edison,>98%,01105,2020-11-04T10:43:45Z,D+51,Jones +51,51.13418,democrat,Perry,13,,,11,5215,6,5202,3931,5005,1271,1400,0,1074,129,0
all,456,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01107,2020-11-04T10:43:45Z,R+13,Tuberville +13,12.94374,republican,Pickens,20,,,18,9634,6,9634,4188,4188,5435,5435,22,0,0,0
all,910,Released as a precinct in the middle of the night,,1148,100,>98% reported,edison,>98%,01109,2020-11-04T10:43:46Z,R+13,Tuberville +13,12.78512,republican,Pike,35,,,33,13796,6,13766,5996,6714,7756,8186,28,718,430,0
unknown,1038,None,,0,100,>98% reported,edison,>98%,01111,2020-11-04T10:43:46Z,R+56,Tuberville +56,56.03681,republican,Randolph,27,,,25,10734,2,10759,2360,2360,8389,8389,20,0,0,0
unknown,1262,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01113,2020-11-04T10:43:46Z,D+11,Jones +11,11.343,democrat,Russell,19,,,19,17395,2,21035,11701,11701,9315,9315,38,0,0,0
all,5451,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01117,2020-11-04T10:43:48Z,R+36,Tuberville +36,36.11415,republican,Shelby,49,,,49,114439,6,114163,36350,36350,77579,77579,468,0,0,0
unknown,2192,None,,0,100,>98% reported,edison,>98%,01115,2020-11-04T10:43:47Z,R+60,Tuberville +60,60.07502,republican,St. Clair,31,,,31,40935,2,44253,8796,8796,35381,35381,152,0,0,0
all,795,Released as a separate subtotal as first report of the night,,0,99,>98% reported,edison,>98%,01119,2020-11-04T10:43:49Z,D+50,Jones +50,50.34406,democrat,Sumter,13,,,11,6282,6,6249,4696,4696,1550,1550,6,0,0,0
all,1602,None,,12080,100,>98% reported,edison,>98%,01121,2020-11-04T10:43:50Z,R+22,Tuberville +22,22.20847,republican,Talladega,27,,,26,35591,6,35554,13807,20152,21703,27426,100,6345,5723,12
all,1203,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01123,2020-11-04T20:19:30Z,R+40,Tuberville +40,40.28791,republican,Tallapoosa,28,,,26,18083,6,20840,6212,6212,14608,14608,40,0,0,0
unknown,4762,Other,,0,97,97% reported,edison,97%,01125,2020-11-06T22:25:46Z,R+10,Tuberville +10,10.11582,republican,Tuscaloosa,55,,,53,92624,4,89533,40143,40143,49200,49200,380,0,0,0
unknown,1320,None,,0,99,>98% reported,edison,>98%,01127,2020-11-04T10:43:51Z,R+61,Tuberville +61,61.29667,republican,Walker,46,,,43,31418,4,30987,5964,5964,24958,24958,130,0,0,0
all,592,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,99,>98% reported,edison,>98%,01129,2020-11-04T20:19:31Z,R+40,Tuberville +40,40.0637,republican,Washington,20,,,18,8852,6,8791,2630,2630,6152,6152,18,0,0,0
all,931,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,01131,2020-11-04T10:43:52Z,D+40,Jones +40,39.51228,democrat,Wilcox,36,,,31,5918,4,5864,4088,4088,1771,1771,10,0,0,0
unknown,533,None,,0,100,>98% reported,edison,>98%,01133,2020-11-04T20:19:31Z,R+77,Tuberville +77,76.72698,republican,Winston,19,,,18,10994,2,11219,1299,1299,9907,9907,26,0,0,0
