absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,43430,Merged into voters' home precincts and released with cumulative results,,54829,98,98% reported,edison,98%,39045,2020-11-04T10:43:54Z,R+23,Trump +23,23.38493,republican,Fairfield,107,,,105,83121,2,81591,30634,54751,218,351,998,1537,49714,79727,81,24117,133,539,30013,27
all,5552,Released as a separate subtotal as first report of the night,,7133,100,>98% reported,edison,>98%,39047,2020-11-04T10:43:54Z,R+51,Trump +51,51.27184,republican,Fayette,25,,,25,12305,6,12305,2911,5051,32,49,129,182,9220,14136,33,2140,17,53,4916,7
unknown,374078,Released as a separate subtotal as first report of the night,,0,91,91% reported,edison,91%,39049,2020-11-04T10:43:55Z,D+31,Biden +31,31.09293,democrat,Franklin,884,,,806,662500,4,606022,391584,391584,2026,2026,7294,7294,203154,203154,3928,0,0,0,0,0
some,8866,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,39051,2020-11-04T10:43:56Z,R+40,Trump +40,39.69236,republican,Fulton,29,,,27,22401,2,22299,6545,6545,68,68,290,290,15396,15396,0,0,0,0,0,0
unknown,5408,Released as a separate subtotal as first report of the night,,0,98,98% reported,edison,98%,39053,2020-11-04T10:43:57Z,R+55,Trump +55,55.23282,republican,Gallia,26,,,24,13619,2,13358,2911,2911,32,32,126,126,10289,10289,0,0,0,0,0,0
unknown,25718,Other,,0,100,>98% reported,edison,>98%,39055,2020-11-04T10:43:58Z,R+23,Trump +23,22.75329,republican,Geauga,78,,,78,55381,6,55381,20980,20980,132,132,524,524,33581,33581,328,0,0,0,0,0
unknown,43531,Other,,0,99,>98% reported,edison,>98%,39057,2020-11-04T10:43:59Z,R+20,Trump +20,19.52757,republican,Greene,146,,,136,87708,2,86616,34023,34023,258,258,1398,1398,50937,50937,0,0,0,0,0,0
unknown,8078,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39059,2020-11-04T10:43:59Z,R+48,Trump +48,48.18039,republican,Guernsey,35,,,33,17430,2,17806,4498,4498,61,61,170,170,13077,13077,0,0,0,0,0,0
unknown,183454,Released as a separate subtotal as first report of the night,,245471,87,87% reported,edison,87%,39061,2020-11-04T10:43:59Z,D+16,Biden +16,15.5867,democrat,Hamilton,563,,,560,477539,4,417574,238101,407644,1303,1967,4989,7150,173015,246015,435,169543,664,2161,73000,103
unknown,19219,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,39063,2020-11-04T10:44:00Z,R+38,Trump +38,37.52993,republican,Hancock,60,,,56,41066,2,37999,11535,11535,103,103,565,565,25796,25796,0,0,0,0,0,0
unknown,6294,Other,,0,99,>98% reported,edison,>98%,39065,2020-11-04T10:44:00Z,R+52,Trump +52,51.51305,republican,Hardin,21,,,19,13111,2,12954,3025,3025,43,43,188,188,9698,9698,0,0,0,0,0,0
unknown,3522,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39067,2020-11-04T10:40:27Z,R+52,Trump +52,52.34667,republican,Harrison,16,,,15,7403,2,7500,1742,1742,34,34,56,56,5668,5668,0,0,0,0,0,0
unknown,7016,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,39069,2020-11-04T10:44:01Z,R+43,Trump +43,43.35037,republican,Henry,23,,,21,15090,2,14482,3995,3995,43,43,171,171,10273,10273,0,0,0,0,0,0
some,8226,Released as a separate subtotal as first report of the night,,10178,100,>98% reported,edison,>98%,39071,2020-11-04T10:44:01Z,R+60,Trump +60,60.23934,republican,Highland,31,,,31,19303,6,19303,3741,6453,49,77,140,180,15369,22766,9,2712,28,40,7397,1
some,7512,Released as a separate subtotal as first report of the night,,9874,100,>98% reported,edison,>98%,39073,2020-11-04T10:44:01Z,R+41,Trump +41,41.47686,republican,Hocking,21,,,21,13521,2,13786,3836,7081,40,68,160,266,9554,16019,422,3245,28,106,6465,30
unknown,6416,Released as a separate subtotal as first report of the night,,7977,100,>98% reported,edison,>98%,39075,2020-11-04T10:44:02Z,R+68,Trump +68,67.63994,republican,Holmes,17,,,17,11959,4,12809,1981,3586,26,46,120,189,10645,16904,98,1605,20,69,6259,24
all,12338,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,39077,2020-11-04T10:44:02Z,R+41,Trump +41,40.91182,republican,Huron,46,,,46,26628,6,26628,7643,7643,81,81,367,367,18537,18537,0,0,0,0,0,0
all,7259,Other,,0,100,>98% reported,edison,>98%,39079,2020-11-04T10:44:02Z,R+54,Trump +54,53.75,republican,Jackson,30,,,30,14160,6,14160,3193,3193,29,29,134,134,10804,10804,0,0,0,0,0,0
unknown,16200,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,39081,2020-11-04T10:44:02Z,R+38,Trump +38,38.33354,republican,Jefferson,71,,,63,34830,2,32572,9823,9823,97,97,343,343,22309,22309,0,0,0,0,0,0
unknown,17702,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,39083,2020-11-04T10:43:27Z,R+44,Trump +44,43.61789,republican,Knox,53,,,50,30409,2,30703,8433,8433,82,82,363,363,21825,21825,0,0,0,0,0,0
unknown,65162,Other,,82427,95,95% reported,edison,95%,39085,2020-11-04T10:43:28Z,R+14,Trump +14,13.51248,republican,Lake,163,,,163,134979,4,127867,54337,96432,385,616,1240,1861,71615,110926,749,42095,231,621,39311,169
unknown,11954,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,39087,2020-11-04T10:43:28Z,R+45,Trump +45,45.2328,republican,Lawrence,84,,,76,27582,2,27427,7353,7353,68,68,247,247,19759,19759,0,0,0,0,0,0
unknown,45584,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,39089,2020-11-04T10:43:28Z,R+28,Trump +28,27.92225,republican,Licking,96,,,93,94348,2,91830,32324,32324,301,301,1240,1240,57965,57965,0,0,0,0,0,0
all,10603,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,39091,2020-11-04T10:43:28Z,R+55,Trump +55,54.97063,republican,Logan,36,,,36,22719,4,22985,4990,4990,67,67,257,257,17625,17625,92,0,0,0,0,0
unknown,81890,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,39093,2020-11-04T10:43:28Z,R+3,Trump +3,2.58376,republican,Lorain,193,,,193,163307,4,151988,72792,72792,504,504,1615,1615,76719,76719,716,0,0,0,0,0
unknown,101640,Released as a separate subtotal as first report of the night,,0,81,81% reported,edison,81%,39095,2020-11-04T10:43:29Z,D+17,Biden +17,16.60543,democrat,Lucas,312,,,270,239647,2,194882,111989,111989,757,757,2508,2508,79628,79628,0,0,0,0,0,0
unknown,9619,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39097,2020-11-04T10:43:29Z,R+41,Trump +41,40.84624,republican,Madison,24,,,24,18449,2,19309,5558,5558,46,46,260,260,13445,13445,0,0,0,0,0,0
some,67570,Released as a separate subtotal as first report of the night,,67924,100,>98% reported,edison,>98%,39099,2020-11-04T10:43:29Z,R+1.9,Trump +1.9,1.93454,republican,Mahoning,212,,,212,116565,6,116565,56346,98388,425,652,956,1354,58601,83734,598,42042,227,398,25133,124
unknown,12346,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,39101,2020-11-04T10:43:30Z,R+38,Trump +38,38.476,republican,Marion,65,,,59,27126,6,27126,8089,8089,108,108,403,403,18526,18526,0,0,0,0,0,0
