absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,1682,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01049,2020-11-04T10:43:35Z,R+70,Trump +70,69.82129,republican,DeKalb,53,,,53,29322,6,29322,4271,4271,250,250,24744,24744,114,0,0,0,0
some,2117,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01051,2020-11-04T10:43:36Z,R+48,Trump +48,48.38473,republican,Elmore,30,,,29,40891,6,40891,10304,10304,397,397,30089,30089,202,0,0,0,0
all,848,None,,0,100,>98% reported,edison,>98%,01053,2020-11-04T10:43:36Z,R+38,Trump +38,37.5134,republican,Escambia,33,,,31,15861,6,15861,4894,4894,94,94,10844,10844,58,0,0,0,0
all,2245,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01055,2020-11-04T21:08:13Z,R+50,Trump +50,50.26549,republican,Etowah,32,,,31,47358,6,47460,11487,11487,528,528,35343,35343,204,0,0,0,0
all,362,Released as a precinct as first report of the night,,477,100,>98% reported,edison,>98%,01057,2020-11-04T10:43:37Z,R+67,Trump +67,67.43947,republican,Fayette,28,,,27,8794,4,8756,1390,1580,56,57,7295,7580,31,190,1,285,1
all,653,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01059,2020-11-04T10:43:37Z,R+66,Trump +66,65.89462,republican,Franklin,25,,,23,12564,6,12564,2085,2085,105,105,10364,10364,20,0,0,0,0
unknown,507,Released separately AFTER election night,,0,100,>98% reported,edison,>98%,01061,2020-11-04T10:43:37Z,R+74,Trump +74,73.79167,republican,Geneva,28,,,27,12534,2,12538,1592,1592,90,90,10844,10844,24,0,0,0,0
all,590,"As a precinct in the FIRST cumulative report, along with regular precincts",,1561,99,>98% reported,edison,>98%,01063,2020-11-06T18:38:31Z,D+63,Biden +63,62.9847,democrat,Greene,15,,,15,4824,2,4771,3880,5345,8,8,875,971,16,1465,0,96,0
all,982,None,,1474,100,>98% reported,edison,>98%,01065,2020-11-04T10:43:39Z,D+19,Biden +19,18.89674,democrat,Hale,15,,,13,7922,6,7922,4687,5978,37,45,3190,3362,19,1291,8,172,3
unknown,994,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01067,2020-11-04T10:43:40Z,R+43,Trump +43,43.21174,republican,Henry,15,,,15,9043,4,9266,2589,2589,69,69,6593,6593,30,0,0,0,0
all,3363,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01069,2020-11-04T10:43:41Z,R+43,Trump +43,42.94208,republican,Houston,28,,,27,45750,6,45750,12738,12738,525,525,32384,32384,206,0,0,0,0
none,1483,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01071,2020-11-04T20:58:44Z,R+68,Trump +68,67.51546,republican,Jackson,31,,,31,22369,4,23602,3709,3709,208,208,19644,19644,82,0,0,0,0
some,15352,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01073,2020-11-04T17:07:24Z,D+13,Biden +13,13.08786,democrat,Jefferson,173,,,165,275449,6,324675,180936,180936,3568,3568,138443,138443,3456,0,0,0,0
some,790,Released as a precinct as first report of the night,,474,100,>98% reported,edison,>98%,01075,2020-11-04T10:43:43Z,R+72,Trump +72,72.21372,republican,Lamar,26,,,24,7187,6,7187,978,1100,33,34,6168,6518,17,122,1,350,1
all,2931,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01077,2020-11-04T10:43:43Z,R+45,Trump +45,44.63521,republican,Lauderdale,32,,,32,44149,6,44149,11872,11872,533,533,31578,31578,332,0,0,0,0
all,725,Released as a precinct in the middle of the night,,866,100,>98% reported,edison,>98%,01079,2020-11-04T10:43:44Z,R+55,Trump +55,54.6594,republican,Lawrence,30,,,29,15957,6,15957,3544,3963,126,134,12266,12703,44,419,8,437,2
unknown,4032,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01081,2020-11-04T10:43:44Z,R+20,Trump +20,20.31417,republican,Lee,24,,,24,66294,2,70980,27600,27600,1012,1012,42019,42019,698,0,0,0,0
unknown,2880,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,01083,2020-11-04T10:43:44Z,R+43,Trump +43,42.71855,republican,Limestone,26,,,26,49000,2,48754,13510,13510,736,736,34337,34337,342,0,0,0,0
unknown,576,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,01085,2020-11-04T10:43:45Z,D+46,Biden +46,45.87116,democrat,Lowndes,13,,,12,6794,2,6830,4968,4968,26,26,1835,1835,2,0,0,0,0
all,715,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01087,2020-11-04T10:43:45Z,D+64,Biden +64,63.75762,democrat,Macon,14,,,12,8697,6,8697,7084,7084,52,52,1539,1539,44,0,0,0,0
unknown,14142,Released as a precinct at the end of tabulation,,0,99,>98% reported,edison,>98%,01089,2020-11-04T10:43:46Z,R+8,Trump +8,7.9967,republican,Madison,73,,,73,195000,2,193955,86885,86885,3678,3678,102395,102395,1994,0,0,0,0
some,1014,None,,0,100,>98% reported,edison,>98%,01091,2020-11-04T10:43:46Z,D+1.3,Biden +1.3,1.27734,democrat,Marengo,20,,,18,10882,6,10882,5476,5476,59,59,5337,5337,20,0,0,0,0
all,666,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,01093,2020-11-04T10:43:46Z,R+78,Trump +78,77.85434,republican,Marion,21,,,20,12231,6,13786,1457,1457,115,115,12190,12190,48,0,0,0,0
none,2110,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01095,2020-11-04T20:23:33Z,R+69,Trump +69,68.91016,republican,Marshall,28,,,28,39425,6,39492,5880,5880,432,432,33094,33094,172,0,0,0,0
all,11133,Released as a separate subtotal as first report of the night,,0,93,93% reported,edison,93%,01097,2020-11-04T20:58:44Z,R+12,Trump +12,12.02038,republican,Mobile,88,,,82,195848,4,181783,78754,78754,1920,1920,100605,100605,1008,0,0,0,0
all,827,Merged into voters' home precincts and released with cumulative results,,1256,100,>98% reported,edison,>98%,01099,2020-11-04T21:08:13Z,R+16,Trump +16,16.0452,republican,Monroe,31,,,29,10610,6,10620,4425,5312,53,55,6129,6496,26,887,2,367,0
all,7544,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,01101,2020-11-04T20:19:11Z,D+31,Biden +31,31.42187,democrat,Montgomery,49,,,45,98153,6,98476,64065,64065,916,916,33122,33122,746,0,0,0,0
