absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,mchughj__total_count,pierceb__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,mchughj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
unknown,3260,Merged into voters' home precincts and released with cumulative results,,0,82,82% reported,edison,82%,49037,2020-11-04T10:44:15Z,R+3,Trump +3,3.49037,republican,San Juan,23,,,19,6427,2,5243,2451,2451,16,16,10,10,68,68,3,64,18,12,2634,2634,31,0,0,0,0,0,0,0,0,0,0,0
unknown,4390,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,49039,2020-11-04T22:00:55Z,R+68,Trump +68,67.88923,republican,Sanpete,29,,,29,11994,4,12133,1724,1724,48,48,18,18,205,205,7,83,20,19,9961,9961,37,188,0,0,0,0,0,0,0,0,0,0
unknown,7135,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,95,95% reported,edison,95%,49041,2020-11-04T10:44:15Z,R+76,Trump +76,75.99425,republican,Sevier,23,,,22,10212,4,9731,1032,1032,28,28,12,12,123,123,3,44,3,11,8427,8427,27,130,0,0,0,0,0,0,0,0,0,0
unknown,20812,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,49043,2020-11-07T19:41:42Z,D+20,Biden +20,19.72955,democrat,Summit,50,,,50,24356,2,25439,14947,14947,24,24,60,60,351,351,12,129,18,17,9928,9928,82,0,0,0,0,0,0,0,0,0,0,0
all,22742,Released as a separate subtotal as first report of the night,,27199,100,>98% reported,edison,>98%,49045,2020-11-04T23:00:53Z,R+37,Trump +37,37.0608,republican,Tooele,62,,,62,28000,4,29770,8498,16531,173,333,79,147,891,1674,29,567,80,56,19531,37125,137,888,8033,160,68,783,29,69,46,17594,121,296
all,8700,Released as a separate subtotal as first report of the night,,13065,98,98% reported,edison,98%,49047,2020-11-04T10:44:16Z,R+76,Trump +76,75.53393,republican,Uintah,26,,,25,15100,4,14796,1601,3070,53,102,27,51,212,395,4,115,10,15,12777,24067,37,121,1469,49,24,183,2,9,13,11290,25,1
all,95185,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,49049,2020-11-07T02:15:38Z,R+40,Trump +40,40.22904,republican,Utah,294,,,294,237830,4,259688,69386,69386,1240,1240,729,729,9035,9035,147,2443,408,453,173856,173856,1435,5998,0,0,0,0,0,0,0,0,0,0
unknown,8962,None,,0,100,>98% reported,edison,>98%,49051,2020-11-04T10:44:16Z,R+25,Trump +25,25.46791,republican,Wasatch,38,,,38,14302,4,16456,5762,5762,51,51,41,41,326,326,6,127,31,16,9953,9953,74,392,0,0,0,0,0,0,0,0,0,0
unknown,53675,Merged into voters' home precincts and released with cumulative results,,76523,100,>98% reported,edison,>98%,49053,2020-11-06T22:01:40Z,R+51,Trump +51,51.27524,republican,Washington,113,,,113,77000,4,88807,20065,38397,216,401,180,323,1685,2933,32,849,71,81,65601,121255,278,1770,18332,185,143,1248,27,61,71,55654,228,574
unknown,902,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,49055,2020-11-04T10:44:16Z,R+53,Trump +53,52.94486,republican,Wayne,7,,,7,1677,2,1596,362,362,3,3,3,3,9,9,2,12,1,2,1207,1207,7,0,0,0,0,0,0,0,0,0,0,0
all,74882,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,49057,2020-11-06T23:00:39Z,R+23,Trump +23,22.53565,republican,Weber,154,,,154,100346,4,108335,39652,39652,407,407,467,467,2757,2757,53,986,178,245,64066,64066,510,0,0,0,0,0,0,0,0,0,0,0
