absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,1270,None,,0,99,>98% reported,edison,>98%,29175,2020-11-04T10:43:43Z,R+52,Trump +52,51.5081,republican,Randolph,15,,,14,10800,2,10742,2485,2485,14,14,25,25,200,200,8018,8018,0,0,0,0,0,0,0
unknown,1498,Released as a precinct as first report of the night,,2781,100,>98% reported,edison,>98%,29177,2020-11-04T10:43:43Z,R+45,Trump +45,44.80007,republican,Ray,12,,,12,11533,6,11654,3107,4199,21,25,28,30,144,161,8328,9990,56,1092,4,2,17,1662,4
unknown,616,Released as a precinct as first report of the night,,0,98,98% reported,edison,98%,29179,2020-11-04T10:43:44Z,R+67,Trump +67,66.82838,republican,Reynolds,14,,,14,3354,2,3298,529,529,4,4,8,8,24,24,2733,2733,0,0,0,0,0,0,0
unknown,717,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29181,2020-11-04T10:43:44Z,R+70,Trump +70,69.73707,republican,Ripley,7,,,7,5743,6,5743,833,833,4,4,34,34,34,34,4838,4838,0,0,0,0,0,0,0
all,1262,Released as a precinct as first report of the night,,1995,100,>98% reported,edison,>98%,29195,2020-11-04T10:43:49Z,R+37,Trump +37,37.19563,republican,Saline,16,,,15,9528,6,9528,2903,3883,6,6,23,28,135,154,6447,7434,32,980,0,5,19,987,4
all,286,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29197,2020-11-04T10:43:50Z,R+61,Trump +61,61.49626,republican,Schuyler,5,,,5,2005,6,2005,373,373,1,1,3,3,20,20,1606,1606,4,0,0,0,0,0,0
all,466,Released as a precinct as first report of the night,,459,100,>98% reported,edison,>98%,29199,2020-11-04T10:43:51Z,R+59,Trump +59,59.0932,republican,Scotland,6,,,5,1985,6,1985,387,536,4,4,7,7,25,31,1560,1864,4,149,0,0,6,304,0
all,1589,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29201,2020-11-04T10:43:51Z,R+56,Trump +56,56.43453,republican,Scott,21,,,20,17748,6,17748,3753,3753,11,11,29,29,156,156,13769,13769,60,0,0,0,0,0,0
all,706,Released as a precinct as first report of the night,,639,96,96% reported,edison,96%,29203,2020-11-04T10:43:52Z,R+63,Trump +63,62.89662,republican,Shannon,8,,,7,4090,4,3908,706,945,3,4,8,10,24,27,3164,3557,7,239,1,2,3,393,1
all,602,Released as a precinct at the end of tabulation,,667,100,>98% reported,edison,>98%,29205,2020-11-06T20:25:10Z,R+63,Trump +63,62.81287,republican,Shelby,7,,,7,3355,6,3356,592,791,4,4,8,9,46,51,2700,3158,16,199,0,1,5,458,4
all,9973,Released as a precinct in the middle of the night,,0,100,>98% reported,edison,>98%,29183,2020-11-04T10:43:44Z,R+17,Trump +17,17.48487,republican,St. Charles,123,,,123,222175,6,222175,89346,89346,229,229,525,525,3308,3308,128193,128193,1148,0,0,0,0,0,0
unknown,782,Released as a precinct as first report of the night,,731,96,96% reported,edison,96%,29185,2020-11-04T10:43:45Z,R+59,Trump +59,59.17136,republican,St. Clair,10,,,10,5172,6,4972,988,1270,4,5,7,9,43,46,3930,4373,0,282,1,2,3,443,0
unknown,3432,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,29187,2020-11-04T10:43:45Z,R+48,Trump +48,48.08544,republican,St. Francois,22,,,22,25893,2,27996,7044,7044,36,36,73,73,337,337,20506,20506,0,0,0,0,0,0,0
all,23331,None,,46988,100,>98% reported,edison,>98%,29510,2020-11-04T10:43:46Z,D+66,Biden +66,66.12272,democrat,St. Louis City,222,,,203,131765,6,131876,108385,150155,134,175,590,719,1471,1725,21185,25868,333,41770,41,129,254,4683,111
all,107806,Merged into voters' home precincts and released with cumulative results,,217382,91,91% reported,edison,91%,29189,2020-11-04T10:43:45Z,D+24,Biden +24,23.85767,democrat,St. Louis County,1247,,,1163,581544,4,528107,322802,479247,796,1072,1627,2057,6042,7305,196808,255744,96,156445,276,430,1263,58936,32
all,888,Released as a precinct as first report of the night,,1923,100,>98% reported,edison,>98%,29186,2020-11-04T10:43:48Z,R+41,Trump +41,41.2217,republican,Ste. Genevieve,13,,,13,8871,4,9495,2713,3573,16,19,14,16,111,131,6627,7660,33,860,3,2,20,1033,5
all,1728,None,,3794,96,96% reported,edison,96%,29207,2020-11-04T10:43:53Z,R+72,Trump +72,71.93139,republican,Stoddard,11,,,10,13924,4,13410,1814,2561,8,9,16,18,99,119,11460,14482,28,747,1,2,20,3022,2
unknown,2683,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29209,2020-11-04T10:43:53Z,R+61,Trump +61,61.10567,republican,Stone,22,,,22,18000,2,18378,3486,3486,9,9,22,22,145,145,14716,14716,0,0,0,0,0,0,0
unknown,542,Released as a precinct as first report of the night,,0,91,91% reported,edison,91%,29211,2020-11-04T10:43:54Z,R+61,Trump +61,60.54229,republican,Sullivan,15,,,14,2719,2,2471,478,478,3,3,2,2,14,14,1974,1974,0,0,0,0,0,0,0
all,4126,Released as a precinct as first report of the night,,5836,100,>98% reported,edison,>98%,29213,2020-11-04T10:43:54Z,R+58,Trump +58,57.54954,republican,Taney,21,,,21,26240,6,26240,5325,7252,29,33,67,74,326,366,20426,24273,145,1927,4,7,40,3847,11
all,1778,Released as a precinct as first report of the night,,2038,99,>98% reported,edison,>98%,29215,2020-11-04T10:43:56Z,R+68,Trump +68,68.49629,republican,Texas,11,,,10,11478,4,11332,1716,2277,14,18,14,15,93,109,9478,10934,34,561,4,1,16,1456,0
unknown,1666,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29217,2020-11-04T10:43:57Z,R+57,Trump +57,57.10388,republican,Vernon,17,,,16,9009,2,9164,1902,1902,5,5,12,12,110,110,7135,7135,0,0,0,0,0,0,0
unknown,1838,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29219,2020-11-04T10:43:58Z,R+46,Trump +46,46.00773,republican,Warren,24,,,24,16536,2,18373,4769,4769,18,18,42,42,322,322,13222,13222,0,0,0,0,0,0,0
none,1411,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,29221,2020-11-04T10:43:59Z,R+63,Trump +63,62.59527,republican,Washington,14,,,14,2284,6,9972,1804,1804,6,6,21,21,94,94,8046,8046,2,0,0,0,0,0,0
unknown,627,None,,0,97,97% reported,edison,97%,29223,2020-11-04T10:43:59Z,R+70,Trump +70,70.48008,republican,Wayne,10,,,9,6036,2,5874,844,844,6,6,4,4,36,36,4984,4984,0,0,0,0,0,0,0
all,2230,Released as a precinct as first report of the night,,7417,100,>98% reported,edison,>98%,29225,2020-11-04T10:44:00Z,R+60,Trump +60,60.19386,republican,Webster,13,,,13,18776,6,18776,3572,4846,39,52,33,51,254,374,14874,20866,8,1274,13,18,120,5992,0
unknown,224,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29227,2020-11-04T10:44:00Z,R+60,Trump +60,59.80126,republican,Worth,8,,,8,1098,2,1107,215,215,1,1,0,0,14,14,877,877,0,0,0,0,0,0,0
all,1078,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29229,2020-11-04T10:44:00Z,R+72,Trump +72,71.90253,republican,Wright,11,,,11,8737,6,8741,1167,1167,9,9,15,15,94,94,7452,7452,8,0,0,0,0,0,0
