absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,5427,Merged into voters' home precincts and released with cumulative results,,3032,100,>98% reported,edison,>98%,18049,2020-11-04T10:44:03Z,R+48,Trump +48,48.22173,republican,Fulton,17,,,17,9110,6,9110,2274,3108,169,213,6667,8821,0,834,44,2154,0
all,13292,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18051,2020-11-04T10:44:03Z,R+48,Trump +48,48.19054,republican,Gibson,34,,,34,16165,6,16165,4027,4027,321,321,11817,11817,0,0,0,0,0
some,19083,None,,12279,100,>98% reported,edison,>98%,18053,2020-11-04T10:44:04Z,R+39,Trump +39,38.66324,republican,Grant,63,,,61,27160,2,27230,8015,12151,584,747,18543,26489,210,4136,163,7946,34
all,7323,Released as a separate subtotal as first report of the night,,7987,100,>98% reported,edison,>98%,18055,2020-11-04T10:44:05Z,R+52,Trump +52,52.09698,republican,Greene,32,,,31,14726,6,14807,3389,5760,290,433,11103,16563,63,2371,143,5460,13
unknown,74760,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18057,2020-11-05T16:09:42Z,R+7,Trump +7,6.78643,republican,Hamilton,225,,,225,172767,4,194447,88367,88367,3893,3893,101563,101563,1248,0,0,0,0
unknown,18729,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18059,2020-11-04T10:43:24Z,R+38,Trump +38,37.50733,republican,Hancock,50,,,50,39869,2,42645,12821,12821,1008,1008,28816,28816,0,0,0,0,0
some,7107,Merged into voters' home precincts and released with cumulative results,,8260,100,>98% reported,edison,>98%,18061,2020-11-04T10:43:24Z,R+46,Trump +46,45.58867,republican,Harrison,39,,,38,19914,2,20198,5334,8488,322,427,14542,19543,0,3154,105,5001,0
all,33144,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18063,2020-11-04T10:43:25Z,R+24,Trump +24,24.01334,republican,Hendricks,104,,,104,88430,6,88430,32453,32453,2043,2043,53688,53688,492,0,0,0,0
all,6212,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,18065,2020-11-06T17:42:35Z,R+45,Trump +45,45.19505,republican,Henry,41,,,38,18244,6,21020,5543,5543,434,434,15043,15043,0,0,0,0,0
all,16788,None,,0,100,>98% reported,edison,>98%,18067,2020-11-04T10:43:26Z,R+32,Trump +32,32.32477,republican,Howard,79,,,78,40619,6,40619,13270,13270,856,856,26400,26400,186,0,0,0,0
unknown,9828,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,18069,2020-11-04T10:43:27Z,R+50,Trump +50,49.93543,republican,Huntington,37,,,37,17215,2,17809,4254,4254,408,408,13147,13147,0,0,0,0,0
none,7797,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18071,2020-11-04T10:43:28Z,R+53,Trump +53,53.29556,republican,Jackson,30,,,30,18857,2,19238,4302,4302,381,381,14555,14555,0,0,0,0,0
some,4737,Merged into voters' home precincts and released with cumulative results,,7657,100,>98% reported,edison,>98%,18073,2020-11-06T14:08:14Z,R+49,Trump +49,48.95127,republican,Jasper,29,,,29,14355,2,15495,3798,6233,288,401,11383,16482,62,2435,113,5099,10
all,5825,Released as a separate subtotal as first report of the night,,4979,100,>98% reported,edison,>98%,18075,2020-11-04T10:43:29Z,R+52,Trump +52,52.38601,republican,Jay,18,,,18,8466,6,8466,1926,3338,169,250,6361,9840,27,1412,81,3479,7
some,7155,Merged into voters' home precincts and released with cumulative results,,7840,100,>98% reported,edison,>98%,18077,2020-11-04T10:43:29Z,R+33,Trump +33,33.45783,republican,Jefferson,26,,,25,14726,6,14726,4732,8052,295,410,9659,14048,96,3320,115,4389,16
all,6188,Merged into voters' home precincts and released with cumulative results,,5000,100,>98% reported,edison,>98%,18079,2020-11-04T10:43:30Z,R+57,Trump +57,56.77151,republican,Jennings,25,,,25,12150,6,12272,2521,3957,237,317,9488,12965,59,1436,80,3477,7
unknown,50885,Merged into voters' home precincts and released with cumulative results,,56495,100,>98% reported,edison,>98%,18081,2020-11-04T10:43:31Z,R+34,Trump +34,34.04299,republican,Johnson,135,,,135,74480,2,77784,24729,43356,1617,2554,51209,88001,597,18627,937,36792,139
all,7755,Merged into voters' home precincts and released with cumulative results,,7995,100,>98% reported,edison,>98%,18083,2020-11-04T10:43:32Z,R+47,Trump +47,47.33887,republican,Knox,33,,,32,16027,6,16027,4067,6806,282,395,11654,16783,62,2739,113,5129,14
all,11537,Merged into voters' home precincts and released with cumulative results,,15524,100,>98% reported,edison,>98%,18085,2020-11-04T10:43:33Z,R+51,Trump +51,50.56631,republican,Kosciusko,75,,,69,35846,6,35846,8350,13429,902,1213,26476,36570,276,5079,311,10094,40
unknown,3360,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18087,2020-11-04T10:43:34Z,R+54,Trump +54,54.12395,republican,LaGrange,16,,,16,10265,2,10633,2355,2355,168,168,8110,8110,0,0,0,0,0
unknown,23451,Released as a separate subtotal as first report of the night,,18894,100,>98% reported,edison,>98%,18091,2020-11-06T14:08:32Z,R+7,Trump +7,7.22068,republican,LaPorte,93,,,92,48504,4,49469,22419,32171,968,1176,25991,34895,212,9752,208,8904,30
some,88065,Released as a separate subtotal as first report of the night,,120368,98,98% reported,edison,98%,18089,2020-11-05T16:52:31Z,D+15,Biden +15,15.01501,democrat,Lake,356,,,356,225350,2,220233,124801,199144,3211,4368,91733,136407,1170,74343,1157,44674,194
some,13809,Released as a separate subtotal as first report of the night,,14772,100,>98% reported,edison,>98%,18093,2020-11-04T10:43:36Z,R+50,Trump +50,50.49594,republican,Lawrence,40,,,39,20551,2,21071,4961,8943,463,720,15601,26112,114,3982,257,10511,22
unknown,23552,None,,0,89,89% reported,edison,89%,18095,2020-11-04T10:43:37Z,R+23,Trump +23,22.61414,republican,Madison,111,,,95,57847,2,51711,19459,19459,1021,1021,31153,31153,156,0,0,0,0
unknown,143564,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,18097,2020-11-06T14:01:43Z,D+29,Biden +29,29.00032,democrat,Marion,600,,,577,405857,4,390106,247034,247034,7215,7215,133902,133902,3910,0,0,0,0
unknown,10005,Merged into voters' home precincts and released with cumulative results,,2765,100,>98% reported,edison,>98%,18099,2020-11-04T10:43:37Z,R+41,Trump +41,40.77957,republican,Marshall,30,,,30,19925,2,19934,5712,7138,362,407,13841,15126,47,1426,45,1285,9
all,2643,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18101,2020-11-04T10:43:38Z,R+59,Trump +59,58.5451,republican,Martin,18,,,18,5155,6,5155,1011,1011,104,104,4029,4029,22,0,0,0,0
some,8804,Merged into voters' home precincts and released with cumulative results,,10708,100,>98% reported,edison,>98%,18103,2020-11-04T10:43:39Z,R+53,Trump +53,53.0601,republican,Miami,24,,,23,14467,2,14493,3235,5876,306,481,10925,18803,68,2641,175,7878,14
unknown,56585,Merged into voters' home precincts AFTER election night,,0,96,96% reported,edison,96%,18105,2020-11-06T15:37:35Z,D+28,Biden +28,28.23389,democrat,Monroe,82,,,78,65468,2,63020,39855,39855,1103,1103,22062,22062,0,0,0,0,0
all,7172,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,18107,2020-11-06T21:34:36Z,R+49,Trump +49,49.11903,republican,Montgomery,27,,,27,16164,6,17197,4212,4212,326,326,12659,12659,0,0,0,0,0
all,24375,Merged into voters' home precincts and released with cumulative results,,28612,100,>98% reported,edison,>98%,18109,2020-11-04T10:43:41Z,R+54,Trump +54,54.48998,republican,Morgan,54,,,54,36214,6,36214,7777,14530,861,1442,27510,48740,180,6753,581,21230,48
unknown,1877,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18111,2020-11-04T10:43:42Z,R+52,Trump +52,51.96791,republican,Newton,18,,,18,6218,2,6606,1509,1509,140,140,4942,4942,30,0,0,0,0
all,7676,None,,11833,100,>98% reported,edison,>98%,18113,2020-11-04T10:43:43Z,R+50,Trump +50,49.61753,republican,Noble,29,,,29,19217,6,19217,4660,8073,335,482,14195,22452,70,3413,147,8257,16
all,1905,Released as a separate subtotal as first report of the night,,1732,100,>98% reported,edison,>98%,18115,2020-11-05T01:04:01Z,R+52,Trump +52,51.89633,republican,Ohio,11,,,11,3164,6,3164,750,1245,22,28,2392,3623,0,495,6,1231,0
all,3360,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18117,2020-11-04T10:43:44Z,R+48,Trump +48,47.63953,republican,Orange,22,,,22,2682,6,8833,2224,2224,174,174,6432,6432,6,0,0,0,0
all,6477,Merged into voters' home precincts and released with cumulative results,,6287,100,>98% reported,edison,>98%,18119,2020-11-05T02:03:04Z,R+49,Trump +49,49.07716,republican,Owen,18,,,18,9915,6,9915,2419,4318,198,307,7285,11557,33,1899,109,4272,7
all,3452,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18121,2020-11-05T01:30:12Z,R+55,Trump +55,55.48433,republican,Parke,17,,,17,7020,6,7020,1503,1503,110,110,5398,5398,18,0,0,0,0
all,6825,Merged into voters' home precincts and released with cumulative results,,1191,100,>98% reported,edison,>98%,18123,2020-11-04T10:43:45Z,R+25,Trump +25,24.5134,republican,Perry,21,,,21,8734,6,8734,3202,3909,174,193,5343,5808,30,707,19,465,0
unknown,3717,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,18125,2020-11-04T10:43:45Z,R+53,Trump +53,52.68489,republican,Pike,18,,,17,6413,2,6220,1415,1415,113,113,4692,4692,0,0,0,0,0
unknown,38280,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18127,2020-11-04T22:29:46Z,R+6,Trump +6,6.21436,republican,Porter,123,,,122,85058,2,86284,39537,39537,1653,1653,44899,44899,390,0,0,0,0
all,7529,Merged into voters' home precincts AFTER election night,,8011,100,>98% reported,edison,>98%,18129,2020-11-04T10:43:46Z,R+41,Trump +41,40.674,republican,Posey,34,,,34,13264,6,13264,3811,6582,214,319,9206,14324,83,2771,105,5118,17
all,2841,Released as a separate subtotal as first report of the night,,3160,100,>98% reported,edison,>98%,18131,2020-11-04T10:43:47Z,R+48,Trump +48,47.87545,republican,Pulaski,15,,,15,5813,6,5813,1463,2488,97,142,4246,6330,20,1025,45,2084,6
some,7191,None,,0,100,>98% reported,edison,>98%,18133,2020-11-05T20:12:36Z,R+50,Trump +50,50.20789,republican,Putnam,31,,,31,15790,2,16595,3946,3946,371,371,12278,12278,0,0,0,0,0
some,3969,Released as a separate subtotal as first report of the night,,6163,99,>98% reported,edison,>98%,18135,2020-11-04T10:43:50Z,R+52,Trump +52,52.35602,republican,Randolph,18,,,17,11222,2,11078,2512,4270,243,335,8312,12621,26,1758,92,4309,4
unknown,4227,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18137,2020-11-05T19:29:36Z,R+59,Trump +59,59.43277,republican,Ripley,25,,,25,13745,2,14280,2774,2774,229,229,11261,11261,32,0,0,0,0
some,3063,Merged into voters' home precincts and released with cumulative results,,3939,100,>98% reported,edison,>98%,18139,2020-11-04T10:43:51Z,R+54,Trump +54,53.93046,republican,Rush,17,,,17,7741,2,7938,1754,2881,143,196,6035,8788,18,1127,53,2753,6
some,4923,None,,5787,100,>98% reported,edison,>98%,18143,2020-11-04T10:43:52Z,R+45,Trump +45,45.49921,republican,Scott,40,,,16,9773,2,10176,2698,4680,134,194,7328,11063,42,1982,60,3735,10
all,8657,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,18145,2020-11-04T10:43:52Z,R+48,Trump +48,47.68447,republican,Shelby,24,,,24,20017,6,20017,5023,5023,400,400,14568,14568,52,0,0,0,0
all,6159,None,,1848,100,>98% reported,edison,>98%,18147,2020-11-04T10:43:52Z,R+38,Trump +38,38.45654,republican,Spencer,24,,,24,10781,6,10781,3208,4204,199,228,7354,8175,42,996,29,821,2
unknown,55661,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,18141,2020-11-06T13:43:51Z,D+6,Biden +6,5.81408,democrat,St. Joseph,16,,,16,123259,4,115547,59870,59870,1923,1923,53152,53152,1204,0,0,0,0
all,4613,Merged into voters' home precincts and released with cumulative results,,5104,100,>98% reported,edison,>98%,18149,2020-11-04T10:43:53Z,R+47,Trump +47,46.71646,republican,Starke,21,,,21,10309,6,10309,2650,4416,174,235,7466,10735,46,1766,61,3269,8
all,6699,None,,8259,100,>98% reported,edison,>98%,18151,2020-11-04T10:43:53Z,R+42,Trump +42,42.12056,republican,Steuben,23,,,23,16175,6,16175,4509,7597,312,450,11322,16341,78,3088,138,5019,14
all,3957,Released as a separate subtotal as first report of the night,,3396,100,>98% reported,edison,>98%,18153,2020-11-04T10:43:54Z,R+50,Trump +50,50.3554,republican,Sullivan,21,,,20,9004,6,9004,2153,3286,150,195,6687,8901,32,1133,45,2214,4
unknown,1191,None,,0,100,>98% reported,edison,>98%,18155,2020-11-04T10:43:54Z,R+52,Trump +52,52.23988,republican,Switzerland,12,,,12,3969,2,4152,964,964,55,55,3133,3133,0,0,0,0,0
unknown,4383,Merged into voters' home precincts and released with cumulative results,,49076,100,>98% reported,edison,>98%,18157,2020-11-04T21:21:48Z,D+0.59,Biden +0.59,0.58811,democrat,Tippecanoe,119,,,119,70017,2,71755,34993,60562,1831,2773,34571,56914,942,25569,942,22343,222
all,4083,Merged into voters' home precincts and released with cumulative results,,3685,100,>98% reported,edison,>98%,18159,2020-11-04T10:43:56Z,R+53,Trump +53,52.63417,republican,Tipton,15,,,15,8124,6,8124,1834,2983,171,244,6110,8570,21,1149,73,2460,3
