absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,39467,Released as a separate subtotal as first report of the night,,35718,100,>98% reported,edison,>98%,06039,2020-11-07T02:35:35Z,R+12,Trump +12,11.62338,republican,Madera,72,,,72,49148,4,51405,22158,38653,168,282,207,338,585,957,154,240,28133,46653,0,16495,114,131,372,86,18520,0
unknown,140974,Other,,0,85,85% reported,edison,85%,06041,2020-11-07T01:40:39Z,D+68,Biden +68,68.11973,democrat,Marin,112,,,95,158771,2,135667,112921,112921,290,290,553,553,1198,1198,200,200,20505,20505,0,0,0,0,0,0,0,0
all,8458,Other,,8259,100,>98% reported,edison,>98%,06043,2020-11-05T23:30:37Z,R+18,Trump +18,18.25746,republican,Mariposa,25,,,25,10229,4,10215,4056,7666,26,45,39,67,151,260,22,35,5921,10401,0,3610,19,28,109,13,4480,0
unknown,46454,Released as a separate subtotal as first report of the night,,0,59,59% reported,edison,59%,06045,2020-11-04T10:43:37Z,D+48,Biden +48,47.63816,democrat,Mendocino,250,,,147,42724,2,25171,18303,18303,39,39,179,179,248,248,90,90,6312,6312,0,0,0,0,0,0,0,0
unknown,52923,Released as a separate subtotal as first report of the night,,0,90,90% reported,edison,90%,06047,2020-11-08T02:35:47Z,D+12,Biden +12,11.7477,democrat,Merced,268,,,242,80699,2,72993,39977,39977,278,278,305,305,700,700,331,331,31402,31402,0,0,0,0,0,0,0,0
unknown,4538,Released as a separate subtotal as first report of the night,,0,84,84% reported,edison,84%,06049,2020-11-04T10:43:39Z,R+42,Trump +42,42.36531,republican,Modoc,22,,,19,4539,2,3805,1063,1063,12,12,14,14,31,31,10,10,2675,2675,0,0,0,0,0,0,0,0
unknown,5003,Merged into voters' home precincts AFTER election night,,4959,100,>98% reported,edison,>98%,06051,2020-11-05T23:30:37Z,D+22,Biden +22,22.28536,democrat,Mono,12,,,12,6015,4,6511,3884,7099,22,42,42,74,114,206,15,24,2433,4023,3,3215,20,32,92,9,1590,1
some,140518,Released as a separate subtotal as first report of the night,,112579,86,86% reported,edison,86%,06053,2020-11-07T02:35:35Z,D+45,Biden +45,44.87158,democrat,Monterey,188,,,162,152085,4,131444,93874,175728,394,710,558,1011,1348,2411,358,632,34893,63497,53,81854,316,453,1063,274,28604,15
all,82274,Other,,42386,81,81% reported,edison,81%,06055,2020-11-07T23:36:35Z,D+44,Biden +44,44.38142,democrat,Napa,191,,,154,69964,4,56589,40308,71578,159,263,222,388,602,985,105,176,15193,25585,0,31270,104,166,383,71,10392,0
all,61400,Other,,26012,64,64% reported,edison,64%,06057,2020-11-07T00:34:36Z,D+20,Biden +20,19.63556,democrat,Nevada,111,,,71,62626,4,40116,23593,39612,100,153,182,269,439,650,83,135,15716,25304,8,16019,53,87,211,52,9588,2
all,929898,Released as a separate subtotal as first report of the night,,1086838,100,>98% reported,edison,>98%,06059,2020-11-08T02:35:47Z,D+9,Biden +9,9.27449,democrat,Orange,1795,,,1795,1365174,4,1478841,792966,1436253,4378,7282,5617,9603,16820,28439,3249,5365,655811,1078737,0,643287,2904,3986,11619,2116,422926,0
all,184938,Released as a separate subtotal as first report of the night,,0,89,89% reported,edison,89%,06061,2020-11-07T02:35:35Z,R+0.84,Trump +0.84,0.83607,republican,Placer,127,,,112,208436,4,185153,89924,89924,406,406,547,547,2589,2589,215,215,91472,91472,0,0,0,0,0,0,0,0
unknown,11534,Other,,0,96,96% reported,edison,96%,06063,2020-11-04T10:43:45Z,R+16,Trump +16,16.27397,republican,Plumas,29,,,29,11409,4,10950,4465,4465,30,30,38,38,142,142,25,25,6247,6247,6,0,0,0,0,0,0,0
all,594424,Released as a separate subtotal as first report of the night,,391546,65,65% reported,edison,65%,06065,2020-11-08T02:35:47Z,D+11,Biden +11,10.65379,democrat,Riverside,864,,,563,856586,4,558759,304585,526913,1513,2519,1651,2719,4667,7761,1262,2096,245056,408247,75,222328,1006,1068,3094,834,163191,25
