absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,edwardsj__total_count,libertarian__total_count,espym__total_count,democrat__total_count,hyde_smithc__total_count,republican__total_count,write-ins__total_count,edwardsj__absentee_count,espym__absentee_count,hyde_smithc__absentee_count,write-ins__absentee_count
unknown,2776.0,None,,0,87,87% reported,edison,87%,28047,2020-11-04T22:48:32Z,R+28,Hyde-Smith +28,27.93027,republican,Harrison,53,,,46,69661,2.0,60805,1957,1957,20894,20894,37877,37877,154,0,0,0,0
unknown,2988.0,Merged into voters' home precincts and released with cumulative results,,0,70,70% reported,edison,70%,28049,2020-11-04T22:49:59Z,D+50,Espy +50,50.43166,democrat,Hinds,108,,,108,117140,2.0,81778,818,818,61082,61082,19840,19840,76,0,0,0,0
none,726.0,None,,0,99,>98% reported,edison,>98%,28051,2020-11-04T10:43:37Z,D+67,Espy +67,66.53313,democrat,Holmes,15,,,15,6542,6.0,6490,36,36,5384,5384,1066,1066,8,0,0,0,0
all,214.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28053,2020-11-04T10:43:38Z,D+50,Espy +50,50.27624,democrat,Humphreys,13,,,13,4164,6.0,4163,29,29,3113,3113,1020,1020,2,0,0,0,0
all,64.0,None,,0,100,>98% reported,edison,>98%,28055,2020-11-04T10:43:38Z,D+9,Espy +9,8.5044,democrat,Issaquena,5,,,5,606,4.0,682,5,5,367,367,309,309,2,0,0,0,0
some,362.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28057,2020-11-04T10:43:39Z,R+67,Hyde-Smith +67,66.58553,republican,Itawamba,28,,,28,9634,4.0,10681,247,247,1655,1655,8767,8767,24,0,0,0,0
unknown,1386.0,None,,0,100,>98% reported,edison,>98%,28059,2020-11-04T10:43:40Z,R+36,Hyde-Smith +36,35.92745,republican,Jackson,32,,,32,39881,6.0,45102,1204,1204,13816,13816,30020,30020,124,0,0,0,0
all,592.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28061,2020-11-04T10:43:41Z,D+5,Espy +5,5.01618,democrat,Jasper,17,,,17,8652,6.0,8652,92,92,4495,4495,4061,4061,8,0,0,0,0
all,578.0,None,,4643,88,88% reported,edison,88%,28065,2020-11-04T10:43:42Z,D+21,Espy +21,20.78398,democrat,Jeff Davis,17,,,17,5285,4.0,4643,34,68,2787,5574,1822,3644,0,34,2787,1822,0
some,600.0,None,,0,100,>98% reported,edison,>98%,28063,2020-11-04T10:43:42Z,D+75,Espy +75,75.41528,democrat,Jefferson,12,,,12,3414,4.0,3913,12,12,3426,3426,475,475,0,0,0,0,0
some,1822.0,None,,0,89,89% reported,edison,89%,28067,2020-11-04T10:43:43Z,R+38,Hyde-Smith +38,38.08515,republican,Jones,37,,,37,29838,2.0,26425,593,593,7863,7863,17927,17927,84,0,0,0,0
none,966.0,None,,0,100,>98% reported,edison,>98%,28069,2020-11-04T10:43:43Z,D+20,Espy +20,20.05607,democrat,Kemper,14,,,14,3890,4.0,3924,36,36,2337,2337,1550,1550,2,0,0,0,0
none,2116.0,Merged into voters' home precincts and released with cumulative results,,0,88,88% reported,edison,88%,28071,2020-11-04T10:43:43Z,R+9,Hyde-Smith +9,9.36093,republican,Lafayette,18,,,18,19434,4.0,17103,364,364,7562,7562,9163,9163,28,0,0,0,0
